,sID,buy_date,buy_price,sell_date,sell_price,season,A1,A2,A3,A4,A5,A6,A7,A8,A9,industry,B1,B2,B3,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,avg,EPS,profit
0,1101,2020-01-02,44.1,2020-03-31,39.5,2020_Q1,0.0,1.24,2.15,0.96,20.3,27.54,0.52,170.59,44.07,水泥工業,1.53,1.4,0.12,33907266,42.28,0.73,0,0.0,5.01,1.14,15.46,1.13,0.33,0.14,0.02,0.04,0.16,-1.34,-13.33,-11.38,-108.76,-0.02,41.816964149475105,0.53,0.8956916099773242
1,1102,2020-01-02,48.9,2020-03-31,39.4,2020_Q1,0.0,0.67,1.22,0.38,15.39,19.36,0.18,103.61,33.7,水泥工業,1.38,1.26,0.03,26927955,45.35,0.83,0,0.0,1.52,12.51,8.77,0.77,0.21,0.09,0.02,0.03,0.17,-0.08,-32.22,-46.49,-151.79,0.06,44.38660717010498,0.24,0.8057259713701431
2,1103,2020-01-02,22.35,2020-03-31,15.15,2020_Q1,0.0,-0.43,-0.72,-0.6,-32.08,-30.87,0.01,-9.16,11.82,水泥工業,2.71,2.7,0.0,6474003,40.81,0.69,0,0.0,0.1,1.73,2.23,26.49,0.06,0.03,0.0,0.01,0.06,1.45,9.5,183.93,-197.75,0.08,19.139285717691696,-0.33,0.6778523489932886
3,1104,2020-01-02,19.65,2020-03-31,15.8,2020_Q1,0.0,0.3,0.38,0.21,5.38,6.21,-0.03,-41.89,-2.28,水泥工業,1.0,0.92,-0.01,-11532,22.46,0.29,0,0.0,-0.55,3.31,37.79,2.44,0.68,0.22,0.02,0.04,0.14,-3.09,5.6,566.06,-205.5,-0.01,17.531249965940198,0.07,0.8040712468193385
4,1108,2020-01-02,8.37,2020-03-31,6.31,2020_Q1,0.0,1.47,2.54,1.25,9.97,11.95,0.3,80.99,8.85,水泥工業,2.83,0.95,0.05,3415427,42.11,0.73,0,0.0,2.82,4.01,24.09,0.17,0.25,0.14,0.12,0.1,0.43,3.09,32.41,-517.78,-734.99,0.0,7.42035710811615,0.23,0.7538829151732378
5,1109,2020-01-02,20.5,2020-03-31,16.0,2020_Q1,0.0,2.06,2.49,1.34,18.64,25.79,0.74,140.1,48.75,水泥工業,3.44,2.85,0.2,3692180,17.48,0.21,0,0.0,16.51,1.56,228.08,0.64,0.26,0.16,0.05,0.08,0.25,9.05,-14.32,-23.6,-73.3,0.06,17.483035734721593,0.27,0.7804878048780488
6,1110,2020-01-02,17.35,2020-03-31,16.1,2020_Q1,0.0,-0.13,-0.15,-0.32,-3.25,-3.32,0.2,-595.07,19.19,水泥工業,3.48,2.28,0.14,1325661,10.9,0.12,0,0.0,7.32,3.74,27.31,0.43,0.24,0.14,0.01,0.03,1.11,-3.26,-6.98,-186.06,-273.74,-0.03,16.49196423803057,-0.05,0.9279538904899135
7,1201,2020-01-02,25.15,2020-03-31,19.95,2020_Q1,0.0,0.24,0.71,0.13,1.13,1.57,-0.59,-1050.81,-8.54,食品工業,0.84,0.65,-0.06,-1261358,66.93,2.02,0,0.0,-3.71,0.92,18.64,1.37,1.48,0.38,0.08,0.14,0.27,-15.18,-12.47,-411.15,-99.52,-0.08,21.417857153075087,0.05,0.7932405566600398
8,1203,2020-01-02,27.3,2020-03-31,26.2,2020_Q1,17.9,2.94,4.43,2.24,17.74,27.04,0.6,81.59,14.62,食品工業,2.62,1.64,0.13,2813692,33.66,0.51,0,0.0,7.13,2.97,0.0,0.45,0.43,0.24,0.08,0.11,0.35,3.56,6.51,27.98,-50.04,0.01,26.668750013623924,0.5,0.9597069597069596
9,1210,2020-01-02,43.2,2020-03-31,36.95,2020_Q1,0.0,1.72,3.63,1.6,4.5,5.28,0.49,110.53,5.35,食品工業,0.99,0.68,0.04,-176759,52.69,1.11,0,0.0,3.6,4.99,0.0,1.56,1.69,0.57,0.18,0.26,0.71,-3.36,0.8,22.36,-57.27,0.08,39.66339302062988,0.72,0.8553240740740741
